PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
839,0,3,"King, Dr. James",male,,0,0,PC 11870,39.2936,,q
221,0,2,"Wright, Mrs. Sarah",Female,12.4,0,0,SC/PARIS 357724,21.594,,Cherbourg
756,1,3,"Scott, Mme. Rose",f,10.8,0,0,C.A. 312090,2.1562,,Southampton
217,0,3,"Baker, Miss. Emily",female,15.3,1,0,C.A. 13151,4.0268,,Cherbourg
724,0,3,"Edwards, Mrs. Ellen",F,2.8,0,0,211768,30.5507,,s
660,1,3,"Green, Mr. Henry",M,37.5,3,2,PC 100725,3.8981,,s
777,0,3,"King, Mrs. Kate",female,23.2,0,0,PC 305954,$8.33,,Southampton
159,0,3,"Brown, Miss. Annie",F,35.6,0,1,PC 184173,1.144,,c
58,1,3,"Green, Col. Robert",Male,13.2,3,0,C.A. 136891,47.9846,,Southampton
149,1,3,"Adams, Major. James",M,32.5,0,0,PC 195014,6.9435,,Southampton
141,1,3,"Morris, Mlle. Helen",female,,0,1,C.A. 219098,28.1467,,Southampton
644,1,3,"Wilson, Mrs. Emily",f,17.8,0,0,PC 18003,1.8933,,S
335,1,1,"Campbell, Dr. George",male,45.7,0,0,A/5 384130,139.9997,,Southampton
743,1,2,"Edwards, Mlle. Edith",FEMALE,,0,0,C.A. 127097,$28.50,G4,Southampton
265,0,3,"Clark, Dr. Charles",male,,1,0,C.A. 195551,2.6335,,C
62,0,3,"Campbell, Lady. Edith",female,16.2,0,0,C.A. 251074,23.0284,,s
223,1,1,"Johnson, Mr. Alfred",M,46.3,0,0,SC/PARIS 240593,3.6,E36,Queenstown
95,0,3,"Johnson, Col. Walter",M,,1,0,232855,$16.22,,s
886,1,1,"Moore, Lady. Florence",female,4.2,0,1,C.A. 68683,6.9356,B126,s
706,0,2,"Mitchell, Mr. John",male,23.0,0,1,PC 315250,5.3584,,s
511,1,1,"Wilson, Col. Henry",m,43.3,1,1,A/5 68048,58.2175,B35,C
650,1,3,"Mitchell, Col. Alfred",MALE,3.6,0,0,C.A. 273475,4.4816,,s
552,1,1,"Evans, Miss. Nellie",f,19.2 yrs,0,2,C.A. 387151,76.3294,A98,c
245,0,3,"Hall, Mr. Edward",m,35.9,0,1,STON/O 159306,0.9261,,Southampton
505,0,3,"Evans, Master. John",Male,3.4,0,1,PC 23443,34.3308,,Southampton
109,0,3,"Rogers, Lady. Elizabeth",female,19.3,0,0,81929,4.753,,Cherbourg
867,1,1,"Phillips, Major. Edward",MALE,26.2,1,2,340332,44.0426,C120,s
586,1,3,"Scott, Rev. Arthur",male,,0,0,35959,5.2917,,s
680,1,3,"Morris, Major. Henry",M,34.7,0,2,STON/O 228922,0.3419,,s
467,1,1,"Campbell, Col. Alfred",m,,1,0,SC/PARIS 252852,40.2894,F107,Cherbourg
860,0,3,"Johnson, Mme. Mary",f,32.3,0,0,385994,1.7474,,Cherbourg
701,1,3,"Anderson, Mme. Kate",F,6.0,0,0,C.A. 201280,$30.36,,Southampton
35,0,3,"Green, Master. Arthur",male,,0,0,278317,8.5845,,s
295,1,3,"Young, Miss. Elizabeth",FEMALE,,0,0,C.A. 173774,2.389,,s
823,1,1,"Anderson, Mrs. Ellen",FEMALE,43.1,0,3,C.A. 255480,95.4953,D109,Southampton
328,1,1,"Allen, Dr. Harry",M,16.0,0,0,A/5 384218,43.5121,,s
797,0,3,"Phillips, Mr. Frank",male,37.4,0,2,SC/PARIS 346268,35.7063,,Southampton
272,1,3,"Rogers, Col. Walter",M,,0,0,PC 103860,0.676,,Cherbourg
587,0,1,"Stewart, Master. Charles",MALE,,0,2,A/5 17681,$23.83,G100,C
880,1,3,"Smith, Rev. John",m,4.6,0,0,C.A. 260891,17.1828,,Queenstown
100,0,3,"Nelson, Rev. Henry",male,22.4,0,0,C.A. 64662,5.5932,,c
129,1,3,"Taylor, Major. Robert",M,17.3,0,0,A/5 362905,28.3441,,Queenstown
238,0,3,"Turner, Dr. Thomas",male,24.0,0,0,STON/O 339636,7.798,,Southampton
557,0,3,"Rogers, Mrs. Elizabeth",female,11.3,1,0,C.A. 275717,$3.60,,C
532,0,3,"Young, Col. James",M,41.5,0,0,STON/O 183177,12.7033,,c
466,0,3,"Campbell, Lady. Emily",Female,48.5 yrs,0,0,PC 373452,6.169,,c
154,0,3,"Smith, Mr. Fred",Male,,0,0,C.A. 280226,8.9572,,S
772,0,1,"Turner, Dr. William",Male,40.5,0,0,C.A. 373373,37.4125,B52,s
592,0,1,"Wright, Col. Edward",m,5.7,0,2,SC/PARIS 328850,12.7863,,C
636,0,3,"Wright, Master. Herbert",Male,4.2,1,3,C.A. 310495,6.4874,,C
111,0,3,"Campbell, Major. Fred",male,14.8,0,0,A/5 324726,13.4063,,s
681,1,3,"Smith, Lady. Margaret",F,30.3,0,0,STON/O 33721,14.3899,,Q
438,0,3,"Phillips, Dr. Arthur",Male,23.2,0,2,SC/PARIS 368382,2.6437,,s
535,0,1,"Baker, Col. Samuel",male,51.0,1,0,242550,269.9479,,Southampton
685,0,1,"Smith, Miss. Alice",Female,,1,2,C.A. 345943,50.0715,B22,s
281,0,3,"Stewart, Major. James",m,,0,0,C.A. 198745,$1.66,,Southampton
126,0,3,"Mitchell, Mr. Thomas",male,37.7,1,0,PC 340556,12.426,,s
869,0,3,"Johnson, Lady. Sarah",FEMALE,17.4,0,0,A/5 268728,$5.37,,q
693,1,3,"Parker, Col. Thomas",male,5.9,2,0,STON/O 88822,11.878,,Southampton
863,0,3,"Wright, Master. Henry",M,11.7,0,0,PC 64230,5.6017,,c
865,0,1,"Adams, Mme. Elizabeth",FEMALE,19.2,0,0,C.A. 141760,151.6436,D24,Southampton
135,0,3,"Wilson, Mr. Fred",male,42.5,1,0,SC/PARIS 60584,23.1792,,Southampton
206,1,3,"Phillips, Dr. Harry",Male,14.2,1,2,309169,9.1461,,s
659,1,1,"Baker, Mr. Robert",male,32.0 yrs,1,0,PC 276303,8.1485,A96,Southampton
262,1,2,"Phillips, Major. Frank",m,,1,0,352976,8.8571,,Southampton
165,1,3,"Mitchell, Mme. Emily",F,21.8,0,0,C.A. 55264,33.3534,,S
725,0,2,"Nelson, Lady. Elizabeth",female,45.1,1,0,A/5 311947,5.4624,,S
49,0,2,"King, Miss. Nellie",female,33.1,1,0,SC/PARIS 165582,27.7957,,Cherbourg
75,1,3,"Green, Mlle. Nellie",female,14.9,1,2,STON/O 129710,0.8634,,Southampton
620,1,1,"Phillips, Mme. Mary",F,24.8,0,0,SC/PARIS 145639,22.6788,,S
616,0,3,"Green, Mrs. Bertha",F,40.8,0,0,STON/O 348593,225.7765,,s
644,1,3,"Wilson, Mrs. Emily",f,17.8,0,0,PC 18003,1.8933,,S
325,1,3,"Rogers, Mlle. Alice",Female,32.7,0,0,PC 368749,2.0122,,s
879,0,3,"Smith, Dr. Thomas",MALE,16.7,0,1,STON/O 299545,8.3486,,S
59,0,3,"Baker, Lady. Bertha",FEMALE,25.3,3,0,150803,$13.60,,S
805,1,3,"Wright, Mr. Robert",MALE,37.4,1,0,C.A. 19864,1.7125,,Southampton
329,1,1,"Wright, Col. James",m,29.3 yrs,0,0,C.A. 141790,124.9233,C87,C
98,1,3,"Taylor, Mme. Bertha",f,25.7,0,0,A/5 345803,12.7851,,s
529,0,2,"Stewart, Master. William",m,4.3 yrs,0,2,PC 18620,9.6647,,Southampton
345,0,2,"Brown, Mme. Alice",f,19.9,0,0,PC 282222,$13.11,,S
627,1,2,"Clark, Lady. Ellen",F,35.1,0,0,250876,66.3106,G121,
128,0,3,"King, Mlle. Edith",Female,12.4,0,0,C.A. 308935,0.3384,,c
319,1,2,"Clark, Mme. Anna",FEMALE,17.4,0,0,SC/PARIS 390293,36.9935,,Southampton
603,0,3,"Stewart, Mr. Robert",MALE,0.4,1,0,A/5 333339,19.6762,,c
861,0,3,"Stewart, Miss. Alice",female,24.4,0,1,A/5 390965,1.9239,,Southampton
81,0,2,"Hall, Mme. Bertha",Female,7.8,0,0,A/5 390483,5.6461,,Southampton
356,1,3,"Parker, Miss. Kate",FEMALE,9.9,1,0,PC 4343,4.9439,,S
558,1,1,"Mitchell, Rev. George",Male,42.1,1,0,STON/O 121248,94.3825,C114,Southampton
778,1,1,"Green, Rev. Charles",male,19.4,1,0,A/5 143957,34.6958,F92,Q
448,0,1,"Phillips, Col. Thomas",Male,80.0,0,0,SC/PARIS 16108,4.2745,,Cherbourg
807,0,1,"Campbell, Rev. Charles",m,26.7,1,1,258191,23.9206,,s
479,1,3,"Young, Rev. Fred",male,14.8,4,0,C.A. 295301,12.6746,,s
588,1,3,"Campbell, Col. Alfred",male,40.9,0,1,SC/PARIS 377357,37.4041,,C
578,1,3,"Baker, Miss. Ellen",F,,0,0,A/5 32339,0.959,,c
617,0,3,"Young, Mr. George",male,,0,1,C.A. 267621,2.8156,,S
331,1,1,"Taylor, Mr. Harry",M,30.3,0,0,A/5 225290,$0.11,F34,Southampton
512,0,1,"Anderson, Col. John",M,42.8,0,0,SC/PARIS 213575,80.6397,E5,C
675,1,1,"Allen, Mr. Samuel",m,32.6,0,0,C.A. 298382,63.1912,,Southampton
472,0,2,"Johnson, Col. Fred",M,21.6,0,0,C.A. 119252,1.4537,,s
780,1,2,"Allen, Col. Frank",M,33.0,0,0,STON/O 143322,27.1453,,s
810,1,1,"Collins, Miss. Anna",F,34.4 yrs,0,0,A/5 328760,34.649,A110,c
643,0,2,"Scott, Mlle. Kate",f,32.8,0,0,PC 287964,71.4008,,S
456,1,3,"King, Mme. Ida",f,9.1,1,0,STON/O 294680,11.8161,,Cherbourg
243,1,3,"Allen, Major. William",MALE,,1,0,PC 321316,12.9079,,S
553,0,3,"Turner, Mlle. Sarah",f,7.5,0,0,STON/O 222153,3.884,,s
388,0,1,"Green, Miss. Ellen",F,,1,1,A/5 168099,97.0712,A19,Southampton
432,0,1,"Anderson, Rev. Albert",M,15.5,1,0,PC 35229,35.2406,,
385,1,3,"Anderson, Dr. George",male,6.6,1,0,STON/O 89021,8.0059,,Southampton
16,0,2,"Mitchell, Lady. Sarah",f,38.6,1,0,SC/PARIS 279058,14.2975,,S
363,1,2,"Green, Master. George",MALE,8.1,0,0,STON/O 109861,36.5267,,s
726,0,1,"Anderson, Rev. George",Male,19.9,1,2,SC/PARIS 87510,35.1034,E11,Southampton
455,0,1,"Johnson, Dr. Samuel",Male,33.2,0,2,SC/PARIS 335253,497.1802,E144,s
733,1,3,"Turner, Mr. John",MALE,27.8,0,2,STON/O 324390,10.0088,,Southampton
832,1,1,"Wright, Col. Walter",MALE,14.4,2,1,64991,103.9192,B114,Southampton
309,1,3,"Nelson, Miss. Rose",Female,33.4,1,0,PC 213361,19.1814,,Cherbourg
710,0,2,"Wilson, Rev. Walter",MALE,18.4,4,1,SC/PARIS 206853,6.6112,,S
510,1,2,"Campbell, Col. Albert",MALE,0.4,0,0,STON/O 378621,7.5737,F123,Southampton
633,1,3,"Wright, Col. John",MALE,,0,1,PC 153661,1.9662,,Q
148,1,3,"King, Rev. Arthur",male,150.0,1,0,A/5 75383,$3.42,,Southampton
187,0,2,"Parker, Master. Albert",male,3.0,0,0,397717,3.9971,,s
465,0,1,"Collins, Rev. Alfred",Male,23.6,0,0,291236,24.486,,s
298,0,3,"Wright, Mme. Ellen",Female,29.8,1,0,A/5 296620,4.9322,,Southampton
300,0,2,"Anderson, Mlle. Helen",FEMALE,,1,0,PC 375989,16.8505,,s
260,1,1,"Anderson, Mrs. Emily",Female,47.4,0,0,SC/PARIS 168197,1.0658,G83,s
471,0,2,"Adams, Master. Samuel",MALE,9.5,1,0,349386,$9.35,D100,Southampton
139,0,3,"Allen, Major. Herbert",m,,1,0,C.A. 266054,15.5256,,Southampton
55,1,1,"Scott, Mlle. Margaret",female,10.2 yrs,1,2,202315,$358.58,B38,c
327,0,2,"Brown, Dr. Samuel",M,,0,1,C.A. 271329,0.296,,S
353,0,2,"Scott, Miss. Annie",Female,34.8 yrs,0,1,SC/PARIS 196458,15.4912,F14,S
52,0,2,"Collins, Lady. Edith",FEMALE,-3.0,1,1,SC/PARIS 344254,31.1766,,s
654,1,3,"Moore, Master. William",male,7.7,0,0,C.A. 249774,7.1278,,s
278,0,3,"Nelson, Mr. William",m,,0,0,145043,6.1539,,s
23,0,2,"Taylor, Mr. Henry",male,,1,0,C.A. 383245,15.0856,F26,Southampton
840,0,2,"Mitchell, Major. Herbert",Male,,0,0,PC 138249,46.2043,,Queenstown
559,1,3,"Collins, Col. Charles",MALE,6.5,3,0,STON/O 250642,37.3513,,Southampton
628,1,1,"Baker, Mlle. Florence",female,65.6,2,0,A/5 215218,$11.32,,S
835,1,1,"Campbell, Mme. Helen",FEMALE,,0,0,PC 367205,21.6018,A91,Q
66,0,3,"Turner, Mrs. Mary",FEMALE,16.2,2,1,A/5 137396,3.8929,,S
591,0,3,"Parker, Mr. Alfred",male,,0,0,SC/PARIS 51918,42.6841,,Q
170,0,3,"Campbell, Col. Charles",Male,30.2,0,0,173216,$16.81,,Southampton
297,0,3,"Allen, Mlle. Emily",FEMALE,22.6,0,0,STON/O 386285,10.6804,,Southampton
490,0,1,"Anderson, Master. Herbert",male,7.4,0,0,STON/O 333422,18.0576,F96,s
210,0,3,"Phillips, Master. Charles",male,9.7,1,3,SC/PARIS 22597,3.745,,Southampton
609,1,3,"Allen, Mlle. Bertha",FEMALE,8.7,1,0,217836,18.0015,,C
143,1,1,"Parker, Mr. Robert",m,31.5,0,0,A/5 308476,84.4316,,s
51,0,3,"Phillips, Dr. Henry",M,28.2,2,0,SC/PARIS 299375,13.6895,,S
730,0,1,"Baker, Major. Frank",male,,0,0,STON/O 220564,1.4376,B50,Queenstown
493,1,1,"Clark, Miss. Florence",female,,1,0,PC 352785,52.9631,,S
758,0,2,"Young, Mme. Kate",f,32.2,0,0,STON/O 240036,59.0751,,Southampton
573,1,1,"Johnson, Major. Edward",MALE,34.5,0,0,SC/PARIS 350179,35.4257,,S
884,1,1,"Parker, Mme. Florence",f,53.7,1,0,SC/PARIS 116187,140.5753,F87,C
82,1,2,"Parker, Master. Henry",Male,7.7,1,0,SC/PARIS 149372,14.8682,,s
419,0,3,"Campbell, Major. Walter",Male,,2,2,PC 272210,5.7322,,S
548,1,2,"Anderson, Miss. Edith",Female,9.9,0,0,A/5 93593,23.7458,,Southampton
651,1,1,"Morris, Master. Thomas",Male,7.5,0,0,A/5 62974,7.6426,F31,S
834,1,1,"Turner, Dr. Frank",MALE,,2,2,C.A. 18763,14.2993,A126,s
614,0,3,"Evans, Lady. Nellie",female,,0,0,PC 365417,0.7435,,c
67,0,3,"Green, Master. Fred",MALE,8.1 yrs,0,0,STON/O 395269,1.6514,,Southampton
656,1,2,"Young, Lady. Anna",F,32.8,0,0,SC/PARIS 10813,8.5223,,s
866,0,3,"Wilson, Col. Albert",MALE,29.0,0,2,SC/PARIS 180172,13.0201,,S
10,0,1,"Wright, Rev. John",MALE,37.0,0,1,165981,82.0093,D102,s
663,0,3,"Green, Rev. James",male,51.2,4,0,164829,15.6653,,s
229,0,3,"Adams, Dr. Henry",Male,40.1,1,0,33653,12.2265,,s
836,1,3,"Allen, Major. Herbert",Male,0.4,0,0,337379,4.4093,,C
509,0,1,"Morris, Lady. Mary",Female,47.4,1,3,SC/PARIS 338367,73.4147,B48,C
816,0,2,"Wright, Lady. Sarah",female,35.4,0,0,304139,$8.67,C70,S
677,1,1,"Collins, Mr. Herbert",M,0.4,0,0,A/5 314660,$170.10,G98,Cherbourg
718,1,3,"Moore, Major. Harry",MALE,14.5,0,0,SC/PARIS 126034,13.5034,,s
114,1,3,"Anderson, Mlle. Clara",Female,23.3,0,0,PC 90120,4.3549,,s
508,0,2,"Wright, Rev. Alfred",MALE,27.7,0,0,STON/O 181896,1.9956,,Southampton
670,1,2,"Collins, Mrs. Alice",FEMALE,21.6,0,0,C.A. 163734,25.967,,S
442,0,1,"Phillips, Lady. Elizabeth",F,22.3,0,0,A/5 380355,174.0516,,s
65,1,3,"Rogers, Dr. Frank",m,,0,1,C.A. 311322,22.9628,,Q
596,0,3,"Clark, Col. Fred",M,28.9,1,0,134215,23.8004,,s
673,0,1,"Taylor, Col. Charles",M,16.8,0,0,STON/O 292582,25.0783,,S
827,0,2,"Baker, Rev. Alfred",MALE,21.7,4,0,STON/O 173640,8.7706,,S
468,1,2,"Edwards, Dr. Arthur",Male,0.4,0,2,PC 28821,2.5259,,Queenstown
348,0,2,"Adams, Col. Albert",M,39.1,2,0,STON/O 67548,14.1027,,S
398,0,1,"Scott, Col. Samuel",male,30.1,1,0,SC/PARIS 124544,59.546,A102,Southampton
544,0,3,"Campbell, Mme. Ida",F,200.0,0,0,A/5 171622,2.0661,,s
21,1,1,"Brown, Mrs. Ellen",FEMALE,16.1,0,0,A/5 174239,95.0755,B72,S
504,0,1,"Wilson, Mlle. Alice",F,42.8,0,0,PC 386833,1.3757,,c
708,0,3,"Young, Rev. Frank",MALE,16.6,1,0,C.A. 145904,51.9435,,q
420,0,3,"Wright, Lady. Anna",FEMALE,,0,1,A/5 344618,17.202,,s
372,0,2,"Brown, Mrs. Kate",f,25.4,1,0,276678,8.509,,S
317,0,2,"Anderson, Dr. William",MALE,17.0,0,0,SC/PARIS 343396,27.6178,,s
358,0,3,"Moore, Mr. Arthur",M,20.7,0,0,A/5 75644,2.5086,,Cherbourg
602,0,2,"Edwards, Major. John",MALE,41.5,0,0,STON/O 183415,50.3176,,S
601,0,2,"Wilson, Dr. Fred",M,,2,0,SC/PARIS 50998,18.1977,,c
423,1,3,"Stewart, Mme. Rose",female,19.6,0,1,PC 155027,12.8894,,s
527,1,3,"Hall, Mr. James",MALE,29.7,0,2,202497,15.2824,,S
761,1,1,"Allen, Major. John",MALE,22.3 yrs,0,2,SC/PARIS 86247,67.8434,A7,Southampton
189,0,3,"Brown, Master. Frank",male,,2,0,STON/O 106691,23.4311,,C
252,0,3,"Parker, Mme. Ida",f,35.8,0,0,115243,21.1402,,S
783,0,2,"Nelson, Major. Herbert",MALE,,0,0,C.A. 41055,$38.84,B5,Southampton
368,0,2,"Carter, Col. James",MALE,,0,0,A/5 104678,8.1308,,C
324,1,1,"Hall, Lady. Clara",female,36.8,0,1,STON/O 152693,159.5532,G132,s
541,0,1,"Johnson, Lady. Mary",FEMALE,35.6,0,2,C.A. 302213,6.3433,,Southampton
716,0,3,"Evans, Dr. James",MALE,17.3,0,0,SC/PARIS 21620,$8.01,,C
657,0,3,"Anderson, Mrs. Clara",Female,0.4,1,0,281113,3.4811,,Southampton
859,1,3,"Brown, Mr. Charles",M,21.8,1,0,C.A. 330439,3.1462,,Southampton
514,0,3,"Collins, Col. Charles",M,11.2,0,0,STON/O 88934,23.4979,,s
631,0,3,"Mitchell, Dr. Fred",male,19.3,0,3,SC/PARIS 337275,3.2138,,s
749,1,1,"Evans, Major. Herbert",m,46.6 yrs,0,0,SC/PARIS 60536,$1.53,,S
452,1,2,"Rogers, Major. William",M,,0,0,PC 40250,37.6919,,Queenstown
625,0,3,"Parker, Miss. Annie",FEMALE,35.2,0,0,C.A. 160041,19.4252,,Southampton
415,1,1,"Scott, Major. Walter",Male,38.8,1,3,A/5 249563,23.2183,,s
290,1,2,"Evans, Rev. Harry",m,14.7,1,0,C.A. 236323,32.0274,,C
841,0,3,"Mitchell, Mlle. Anna",f,,0,0,STON/O 90193,0.5277,,S
652,1,3,"Johnson, Dr. Robert",Male,0.4,0,2,PC 6923,0.085,,c
219,1,1,"Morris, Col. Thomas",MALE,,0,0,SC/PARIS 5287,3.5756,,Southampton
240,0,2,"Edwards, Dr. John",m,50.1,0,0,A/5 5858,8.9957,,Southampton
453,0,3,"Hall, Rev. Edward",Male,35.4,4,0,C.A. 212433,$5.69,,s
460,1,1,"Green, Master. Samuel",MALE,6.8,1,0,A/5 397964,110.9226,F32,Southampton
193,1,3,"Collins, Col. Robert",M,,0,0,A/5 172924,60.3503,,S
409,1,2,"Green, Master. James",M,,1,0,C.A. 399193,4.1631,,s
192,1,1,"Wilson, Mme. Edith",female,,1,0,STON/O 44312,8.4513,,s
828,1,2,"Moore, Mlle. Ellen",f,,1,2,C.A. 215106,32.7047,,Cherbourg
745,0,1,"Parker, Lady. Ida",FEMALE,33.0,0,0,PC 369645,32.3,G95,Cherbourg
133,0,3,"Moore, Col. Henry",M,26.2,0,0,SC/PARIS 2486,3.5926,,S
376,1,3,"Rogers, Mme. Edith",F,,0,0,PC 311650,39.6702,,C
253,0,1,"Scott, Mr. James",Male,30.6,0,1,A/5 248501,,D47,C
619,0,3,"Clark, Mr. William",Male,0.4,2,0,C.A. 391275,11.0255,,Cherbourg
264,1,3,"Edwards, Miss. Sarah",f,31.1,0,0,C.A. 293178,25.2309,,Southampton
71,1,2,"Taylor, Rev. Frank",Male,3.9,0,3,197768,13.5698,,s
273,1,3,"Carter, Dr. Edward",M,22.6,1,0,177980,11.9766,,q
436,0,3,"Turner, Mrs. Anna",FEMALE,19.8,4,1,C.A. 233948,6.3618,,S
116,1,3,"Morris, Mrs. Bertha",female,1.9,0,0,SC/PARIS 83824,14.9842,,s
612,1,3,"Stewart, Major. Charles",M,0.4,0,0,SC/PARIS 78425,16.7994,,S
